Pickup_Point_ID,Regional,Province,Suburb,Waybill,Customer_ID,Order_Date,total_weight,total_courier_charge,total_Sales_amount,number_of_customers,number_of_orders
pup1001,Township,KwaZulu-Natal,Vryheid,PAR4091161265,CUS1776,2022-03-31 00:00:00.000,2.00,73.83,92.00,1,1
pup1007,Central,KwaZulu-Natal,Umhlali,PAR4068724960,CUS1467,2022-03-30 00:00:00.000,2.00,0.00,60.00,1,1
pup1007,Central,KwaZulu-Natal,Umhlali,PAR4091169459,CUS1312,2022-03-09 00:00:00.000,1.00,42.16,61.00,1,1
pup1008,Regional,Mpumalanga,Volksrust,PAR4068783145,CUS1712,2022-03-30 00:00:00.000,3.00,217.58,246.00,1,1
pup1009,Regional,Gauteng,Moreletapark,PAR4068713899,CUS1261,2022-03-22 00:00:00.000,4.00,73.83,82.00,1,1
pup1009,Regional,Gauteng,Moreletapark,PAR4091123054,CUS1292,2022-03-10 00:00:00.000,1.00,53.30,77.00,1,1
pup1011,Central,KwaZulu-Natal,Pongola,PAR4091195817,CUS1707,2022-03-11 00:00:00.000,2.00,84.39,100.00,1,1
pup1015,Central,Eastern Cape,Hunters Retreat,PAR4091124541,CUS1164,2022-03-29 00:00:00.000,2.00,84.39,99.00,1,1
pup1020,Regional,Free State,Bethlehem,PAR4068723497,CUS1418,2022-03-29 00:00:00.000,2.00,53.30,73.00,1,1
pup1020,Regional,Free State,Bethlehem,PAR4068739209,CUS1195,2022-03-28 00:00:00.000,2.00,53.30,75.00,1,1
pup1022,Regional,Eastern Cape,Despatch,PAR4068735509,CUS1505,2022-03-17 00:00:00.000,2.00,53.30,65.00,1,1
pup1022,Regional,Eastern Cape,Despatch,PAR4091103022,CUS1230,2022-03-10 00:00:00.000,3.00,73.83,109.00,1,1
pup1022,Regional,Eastern Cape,Despatch,PAR4091142591,CUS1274,2022-03-22 00:00:00.000,2.00,84.39,126.00,1,1
pup1025,Regional,Kwazulu-Natal,Umlazi,PAR4091125322,CUS1119,2022-03-18 00:00:00.000,2.00,84.39,100.00,1,1
pup1025,Regional,Kwazulu-Natal,Umlazi,PAR4091194407,CUS1907,2022-03-15 00:00:00.000,2.00,53.30,66.00,1,1
pup1030,Central,KwaZulu-Natal,Jozini,PAR4091112288,CUS1341,2022-03-22 00:00:00.000,4.00,84.39,103.00,1,1
pup1034,Regional,Limpopo,Lebowakgomo,PAR4068754630,CUS1129,2022-03-15 00:00:00.000,4.00,0.00,60.00,1,1
pup1036,Regional,Gauteng,Newtown,PAR4068756712,CUS1508,2022-03-09 00:00:00.000,1.00,0.00,60.00,1,1
pup1038,Township,KwaZulu-Natal,Hammarsdale,PAR4068790111,CUS1745,2022-03-25 00:00:00.000,1.00,53.30,80.00,1,1
pup1038,Township,KwaZulu-Natal,Hammarsdale,PAR4091117086,CUS1242,2022-03-19 00:00:00.000,3.00,73.83,81.00,1,1
pup1039,Township,Kwazulu-Natal,Hillcrest,PAR4091135697,CUS1420,2022-03-12 00:00:00.000,3.00,84.39,86.00,1,1
pup1044,Regional,Mpumalanga,Nelspruit,PAR4091134068,CUS1190,2022-03-16 00:00:00.000,4.00,0.00,60.00,1,1
pup1077,Regional,Gauteng,Germiston,PAR4091105421,CUS1550,2022-03-09 00:00:00.000,2.00,0.00,60.00,1,1
pup108,Township,KwaZulu-Natal,Umhlanga Ridge,PAR4091115053,CUS1399,2022-03-25 00:00:00.000,4.00,0.00,60.00,1,1
pup1087,Central,Gauteng,Ferndale,PAR4068758171,CUS1602,2022-03-24 00:00:00.000,7.00,84.39,114.00,1,1
pup1089,Central,Northern Cape,Kathu,PAR4068734080,CUS1523,2022-03-26 00:00:00.000,4.00,42.16,54.00,1,1
pup1094,Central,Gauteng,Bryanston,PAR4091136382,CUS1950,2022-03-09 00:00:00.000,2.00,42.16,52.00,1,1
pup1094,Central,Gauteng,Bryanston,PAR4091140872,CUS1661,2022-03-09 00:00:00.000,2.00,0.00,60.00,1,1
pup110,Township,Gauteng,Kempton Park,PAR4091144751,CUS1766,2022-03-22 00:00:00.000,4.00,84.39,95.00,1,1
pup1109,Central,Western Cape,Worcester,PAR4091166332,CUS1125,2022-03-09 00:00:00.000,1.00,53.30,58.00,1,1
pup1110,Township,Western Cape,Cape Town,PAR4068726915,CUS1286,2022-03-15 00:00:00.000,2.00,53.30,57.00,1,1
pup1110,Township,Western Cape,Cape Town,PAR4068745888,CUS1154,2022-03-15 00:00:00.000,5.00,73.83,87.00,1,1
pup1113,Central,Western Cape,Claremont,PAR4068790861,CUS1514,2022-03-18 00:00:00.000,3.00,84.39,124.00,1,1
pup1115,Central,Western Cape,Tokai,PAR4091197445,CUS1259,2022-03-22 00:00:00.000,3.00,73.83,76.00,1,1
pup112,Regional,Limpopo,Louis Trichardt,PAR4068775334,CUS1410,2022-03-23 00:00:00.000,2.00,84.39,113.00,1,1
pup1120,Regional,Western Cape,Bellville,PAR4068750368,CUS1251,2022-03-18 00:00:00.000,2.00,84.39,93.00,1,1
pup1120,Regional,Western Cape,Bellville,PAR4068796349,CUS1865,2022-03-23 00:00:00.000,2.00,84.39,102.00,1,1
pup1120,Regional,Western Cape,Bellville,PAR4091132337,CUS1827,2022-03-14 00:00:00.000,2.00,53.30,69.00,1,1
pup1121,Central,Western Cape,Milnerton,PAR4068738778,CUS1232,2022-03-22 00:00:00.000,2.00,0.00,60.00,1,1
pup1121,Central,Western Cape,Milnerton,PAR4091105903,CUS1653,2022-03-14 00:00:00.000,7.00,53.30,65.00,1,1
pup1126,Regional,Western Cape,Bellville,PAR4068749040,CUS1066,2022-03-24 00:00:00.000,1.00,84.39,100.00,1,1
pup1126,Regional,Western Cape,Bellville,PAR4091166592,CUS1470,2022-03-18 00:00:00.000,5.00,0.00,60.00,1,1
pup1130,Regional,Western Cape,Bellville,PAR4068751723,CUS1575,2022-03-16 00:00:00.000,2.00,53.30,70.00,1,1
pup1130,Regional,Western Cape,Bellville,PAR4091142864,CUS2132,2022-03-09 00:00:00.000,4.00,84.39,97.00,1,1
pup1130,Regional,Western Cape,Bellville,PAR4091163086,CUS1903,2022-03-11 00:00:00.000,2.00,42.16,60.00,1,1
pup1134,Regional,Western Cape,Cape Town,PAR4068792466,CUS1845,2022-03-22 00:00:00.000,3.00,42.16,49.00,1,1
pup1135,Regional,Western Cape,Vredenburg,PAR4068769219,CUS1829,2022-03-22 00:00:00.000,2.00,84.39,110.00,1,1
pup1148,Central,Western Cape,Gordons Bay,PAR4068762223,CUS1509,2022-03-22 00:00:00.000,3.00,84.39,88.00,1,1
pup1157,Regional,KwaZulu-Natal,Paulpietersburg,PAR4091142455,CUS1929,2022-03-25 00:00:00.000,3.00,84.39,99.00,1,1
pup116,Regional,KwaZulu-Natal,Ulundi,PAR4091199518,CUS1254,2022-03-24 00:00:00.000,2.00,84.39,85.00,1,1
pup1172,Central,KwaZulu-Natal,Winterton,PAR4068732956,CUS1344,2022-03-29 00:00:00.000,5.00,53.30,58.00,1,1
pup1271,Township,Gauteng,Pretoria,PAR4091104344,CUS1225,2022-03-10 00:00:00.000,1.00,53.30,71.00,1,1
pup1276,Regional,Gauteng,Lenasia,PAR4091132505,CUS1612,2022-03-15 00:00:00.000,4.00,73.83,84.00,1,1
pup1276,Regional,Gauteng,Lenasia,PAR4091182951,CUS1672,2022-03-23 00:00:00.000,2.00,84.39,96.00,1,1
pup1289,Central,Gauteng,Randburg,PAR4068711715,CUS1597,2022-03-26 00:00:00.000,5.00,73.83,98.00,1,1
pup1289,Central,Gauteng,Randburg,PAR4068792651,CUS1041,2022-03-29 00:00:00.000,1.00,53.30,72.00,1,1
pup1312,Township,Eastern Cape,Butterworth,PAR4068794974,CUS1638,2022-03-22 00:00:00.000,1.00,73.83,87.00,1,1
pup1349,Township,KwaZulu-Natal,Pietermaritzburg,PAR4091159749,CUS1933,2022-03-09 00:00:00.000,1.00,84.39,91.00,1,1
pup1353,Regional,Mpumalanga,Kwamhlanga,PAR4091112184,CUS1914,2022-03-22 00:00:00.000,3.00,84.39,101.00,1,1
pup1353,Regional,Mpumalanga,Kwamhlanga,PAR4091155038,CUS1623,2022-03-17 00:00:00.000,3.00,217.58,292.00,1,1
pup1353,Regional,Mpumalanga,Kwamhlanga,PAR4091185103,CUS2076,2022-03-09 00:00:00.000,4.00,73.83,86.00,1,1
pup1389,Township,Gauteng,Witpoort,PAR4068794247,CUS2195,2022-03-28 00:00:00.000,3.00,217.58,276.00,1,1
